time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
06:00,16,70,21,SSW,showers
07:00,16,70,21,SSW,lightRain
08:00,16,57,22,SSW,showers
09:00,16,55,24,SSW,showers
10:00,16,47,25,SSW,showers
11:00,17,59,27,SW,showers
12:00,17,39,28,SW,showers
13:00,17,35,30,SW,showers
14:00,17,37,30,SW,showers
15:00,17,40,31,SW,showers
16:00,17,44,33,SW,showers
17:00,17,60,32,SW,showers
18:00,17,43,31,SW,showers
19:00,16,70,31,SW,unknown
20:00,16,46,29,SW,showers
21:00,16,20,28,WSW,lightCloud
22:00,15,23,26,WSW,lightCloud
23:00,15,0,25,WSW,partlyCloudy
00:00,15,0,24,WSW,partlyCloudy
01:00,15,0,24,WSW,partlyCloudy
02:00,15,0,23,WSW,partlyCloudy
03:00,15,0,22,WSW,partlyCloudy
04:00,14,0,21,WSW,partlyCloudy
05:00,14,0,21,WSW,partlyCloudy
