time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,16,0,11,WSW,2,Partly Cloudy
07:00,16,0,12,WSW,3,Sunny Intervals
08:00,17,0,13,WSW,3,Sunny Intervals
09:00,18,0,14,WSW,7,Light Cloud
10:00,19,0,14,WSW,7,Light Cloud
11:00,19,0,15,WSW,7,Light Cloud
12:00,19,0,16,WSW,7,Light Cloud
13:00,20,0,16,SW,3,Sunny Intervals
14:00,20,0,16,SW,3,Sunny Intervals
15:00,20,0,16,SW,3,Sunny Intervals
16:00,20,4,16,SW,3,Sunny Intervals
17:00,19,0,16,WSW,1,Sunny
18:00,19,0,16,WSW,1,Sunny
19:00,19,0,15,WSW,1,Sunny
20:00,18,0,13,WSW,1,Sunny
21:00,17,0,11,WSW,0,Clear Sky
22:00,16,0,11,WSW,0,Clear Sky
23:00,16,0,10,W,0,Clear Sky
00:00,15,0,9,W,0,Clear Sky
01:00,15,0,8,W,0,Clear Sky
02:00,15,0,8,WNW,0,Clear Sky
03:00,15,0,8,WNW,0,Clear Sky
04:00,15,0,8,WNW,0,Clear Sky
05:00,15,0,8,WNW,2,Partly Cloudy
