time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,15,21,16,NNW,7,Light Cloud
07:00,15,23,17,NNW,3,Sunny Intervals
08:00,15,29,17,NNW,3,Sunny Intervals
09:00,16,0,17,NNW,3,Sunny Intervals
10:00,17,0,16,NNW,3,Sunny Intervals
11:00,18,0,15,NNW,3,Sunny Intervals
12:00,19,0,14,NW,3,Sunny Intervals
13:00,19,14,15,NW,3,Sunny Intervals
14:00,19,28,15,WNW,10,Light Rain Showers
15:00,19,28,17,WNW,10,Light Rain Showers
16:00,19,34,17,WNW,10,Light Rain Showers
17:00,19,40,18,NW,10,Light Rain Showers
18:00,18,52,18,NW,10,Light Rain Showers
19:00,18,50,18,NW,10,Light Rain Showers
20:00,17,20,16,NW,3,Sunny Intervals
21:00,16,7,16,NW,2,Partly Cloudy
22:00,16,6,18,NW,2,Partly Cloudy
23:00,15,0,19,NW,0,Clear Sky
00:00,15,0,19,NNW,0,Clear Sky
01:00,14,0,19,NW,0,Clear Sky
02:00,14,0,19,NW,0,Clear Sky
03:00,13,0,19,NW,0,Clear Sky
04:00,13,0,19,NW,0,Clear Sky
05:00,13,0,19,NW,0,Clear Sky
