time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,15,0,16,WSW,3,Sunny Intervals
07:00,15,0,16,WSW,3,Sunny Intervals
08:00,16,0,17,WSW,3,Sunny Intervals
09:00,16,29,18,WSW,7,Light Cloud
10:00,17,65,18,WSW,12,Light Rain
11:00,17,69,19,WSW,12,Light Rain
12:00,17,51,21,WSW,12,Light Rain
13:00,18,37,22,WSW,11,Drizzle
14:00,18,32,23,WSW,10,Light Rain Showers
15:00,18,21,23,WSW,7,Light Cloud
16:00,18,21,24,WSW,7,Light Cloud
17:00,18,21,23,WSW,7,Light Cloud
18:00,17,35,23,WSW,10,Light Rain Showers
19:00,17,17,23,WSW,7,Light Cloud
20:00,17,0,22,WSW,7,Light Cloud
21:00,16,25,22,WSW,7,Light Cloud
22:00,16,0,22,WSW,7,Light Cloud
23:00,16,0,22,WSW,8,Thick Cloud
00:00,16,0,22,SW,8,Thick Cloud
01:00,16,19,23,SW,8,Thick Cloud
02:00,16,58,23,WSW,12,Light Rain
03:00,16,47,22,WSW,11,Drizzle
04:00,16,58,23,WSW,12,Light Rain
05:00,17,51,22,WSW,9,Light Rain Showers
