time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,15,0,16,W,3,Sunny Intervals
07:00,15,0,16,WSW,3,Sunny Intervals
08:00,16,0,17,WSW,3,Sunny Intervals
09:00,16,34,18,WSW,12,Light Rain
10:00,17,45,18,WSW,12,Light Rain
11:00,17,70,18,WSW,12,Light Rain
12:00,18,54,20,WSW,12,Light Rain
13:00,18,54,21,WSW,12,Light Rain
14:00,18,41,22,WSW,11,Drizzle
15:00,18,31,22,WSW,10,Light Rain Showers
16:00,18,29,23,WSW,7,Light Cloud
17:00,18,40,23,WSW,12,Light Rain
18:00,17,25,23,WSW,7,Light Cloud
19:00,17,0,22,WSW,7,Light Cloud
20:00,17,0,22,WSW,7,Light Cloud
21:00,16,0,22,WSW,7,Light Cloud
22:00,16,0,22,WSW,7,Light Cloud
23:00,16,13,22,WSW,8,Thick Cloud
00:00,16,16,22,SW,8,Thick Cloud
01:00,16,23,23,SW,8,Thick Cloud
02:00,16,58,23,WSW,12,Light Rain
03:00,16,47,22,WSW,11,Drizzle
04:00,16,58,23,WSW,12,Light Rain
05:00,17,51,22,WSW,9,Light Rain Showers
