time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,17,12,47,SW,7,Light Cloud
07:00,17,7,47,SSW,7,Light Cloud
08:00,17,19,49,SSW,7,Light Cloud
09:00,17,42,50,SSW,10,Light Rain Showers
10:00,17,80,50,SSW,12,Light Rain
11:00,17,80,52,SSW,15,Heavy Rain
12:00,17,80,51,SSW,15,Heavy Rain
13:00,17,80,49,SSW,15,Heavy Rain
14:00,17,80,47,SSW,15,Heavy Rain
15:00,17,80,46,SSW,15,Heavy Rain
16:00,17,80,40,SW,15,Heavy Rain
17:00,17,80,30,SW,15,Heavy Rain
18:00,16,70,23,SW,15,Heavy Rain
19:00,16,70,20,WSW,12,Light Rain
20:00,15,70,15,WSW,12,Light Rain
21:00,15,64,11,WSW,12,Light Rain
22:00,15,39,11,WSW,9,Light Rain Showers
23:00,14,0,12,WSW,2,Partly Cloudy
00:00,14,0,12,W,0,Clear Sky
01:00,13,0,11,W,0,Clear Sky
02:00,13,6,13,WSW,2,Partly Cloudy
03:00,13,11,12,WSW,2,Partly Cloudy
04:00,13,12,14,WSW,2,Partly Cloudy
05:00,13,45,15,WSW,9,Light Rain Showers
