time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
10:00,19,0,15,WSW,7,Light Cloud
11:00,20,0,16,WSW,7,Light Cloud
12:00,20,0,17,WSW,7,Light Cloud
13:00,20,0,17,SW,3,Sunny Intervals
14:00,20,0,16,SW,3,Sunny Intervals
15:00,20,0,16,SW,3,Sunny Intervals
16:00,20,0,16,SW,3,Sunny Intervals
17:00,19,0,15,SW,3,Sunny Intervals
18:00,19,0,15,WSW,3,Sunny Intervals
19:00,18,0,13,WSW,3,Sunny Intervals
20:00,18,0,11,WSW,2,Partly Cloudy
21:00,17,0,9,WSW,2,Partly Cloudy
22:00,17,0,8,W,2,Partly Cloudy
23:00,17,0,6,W,2,Partly Cloudy
00:00,17,0,5,W,2,Partly Cloudy
01:00,17,0,6,W,2,Partly Cloudy
02:00,17,0,6,WNW,2,Partly Cloudy
03:00,16,0,6,WNW,2,Partly Cloudy
04:00,16,0,6,WNW,2,Partly Cloudy
05:00,16,0,6,WNW,2,Partly Cloudy
