time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,19,0,11,ENE,0,Clear Sky
07:00,19,0,12,ENE,1,Sunny
08:00,20,0,13,ENE,1,Sunny
09:00,21,0,14,ENE,1,Sunny
10:00,22,0,14,E,1,Sunny
11:00,23,0,14,E,1,Sunny
12:00,23,0,15,E,1,Sunny
13:00,23,0,14,ESE,1,Sunny
14:00,23,0,14,ESE,1,Sunny
15:00,24,0,13,ESE,1,Sunny
16:00,23,0,11,ESE,1,Sunny
17:00,23,0,9,ESE,1,Sunny
18:00,22,0,7,ESE,1,Sunny
19:00,21,0,6,SE,1,Sunny
20:00,20,0,5,ESE,0,Clear Sky
21:00,19,0,4,ESE,0,Clear Sky
22:00,19,0,4,E,0,Clear Sky
23:00,19,0,3,ENE,0,Clear Sky
00:00,19,0,4,ENE,0,Clear Sky
01:00,19,0,3,ENE,0,Clear Sky
02:00,18,0,3,NE,0,Clear Sky
03:00,18,0,4,NNE,0,Clear Sky
04:00,18,0,4,N,0,Clear Sky
05:00,18,0,5,NNE,0,Clear Sky
