time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
06:00,15,0,10,WSW,sunnyIntervals
07:00,15,0,11,WSW,sunnyIntervals
08:00,16,0,12,WSW,sunnyIntervals
09:00,17,0,13,WSW,sunnyIntervals
10:00,18,24,13,WSW,sunnyIntervals
11:00,18,10,14,WSW,sunnyIntervals
12:00,19,26,15,WSW,lightRain
13:00,19,9,17,SW,sunnyIntervals
14:00,18,9,17,SW,sunnyIntervals
15:00,19,8,17,WSW,sunnyIntervals
16:00,19,0,17,WSW,sunnyIntervals
17:00,18,0,17,WSW,sunnyIntervals
18:00,18,0,17,WSW,sunnyIntervals
19:00,17,0,16,WSW,sunnyIntervals
20:00,17,0,15,WSW,sunnyIntervals
21:00,16,0,14,WSW,sunnyIntervals
22:00,15,0,12,WSW,partlyCloudy
23:00,15,0,11,WSW,clearSky
00:00,15,0,9,WSW,clearSky
01:00,15,0,8,SW,clearSky
02:00,15,0,8,SW,partlyCloudy
03:00,15,0,8,SW,partlyCloudy
04:00,15,0,8,SSW,partlyCloudy
05:00,15,0,9,SSW,lightCloud
